"Год","Регион","Всего регистраций","0-13","14-17","18-24","25-35","36-55","55+"
2025,Республика Калмыкия,3458,128,1930,693,201,317,190
2025,Республика Карелия,4399,234,1895,843,411,803,213
2025,Республика Коми,5269,571,2323,797,474,928,176
2025,Республика Крым,20509,1108,6857,6149,1769,3583,1044
2025,Республика Марий Эл,7126,545,2902,1946,537,889,307
2025,Республика Мордовия,8661,306,3553,3347,463,791,201
2025,Республика Саха (Якутия),8701,233,3447,1855,1104,1633,430
2025,Республика Северная Осетия - Алания,3209,90,1802,722,195,308,92
2025,Республика Татарстан (Татарстан),65607,7224,30330,12331,4333,7919,3474
2025,Республика Тыва,5747,271,2554,1269,718,790,145
2025,Республика Хакасия,2465,113,963,529,245,475,140
2025,Ростовская область,33589,2546,13604,6626,3395,6151,1269
2025,Рязанская область,9621,1070,4657,1899,693,1028,276
2025,Самарская область,25609,1926,11424,6354,1734,3198,978
2025,Санкт-Петербург,50738,1683,15096,14596,7424,10120,1825
2025,Саратовская область,18350,2142,6842,3030,1729,3336,1278
2025,Сахалинская область,3823,272,1428,670,443,798,212
2025,Свердловская область,42451,2889,18325,8235,4017,7285,1702
2025,Севастополь,6712,673,1942,1951,625,1210,311
2025,Смоленская область,6030,292,2802,1086,523,1057,270
2025,Ставропольский край,22584,493,9550,6153,1745,3600,1046
2025,Тамбовская область,4873,208,2528,996,395,599,148
2025,Тверская область,58920,1597,30576,13755,9654,2850,496
2025,Томская область,7447,304,3078,1598,701,1317,449
2025,Тульская область,16804,1168,8057,4160,1447,1581,393
2025,Тюменская область,14234,743,5015,2849,1230,2335,2062
2025,Удмуртская Республика,9332,579,3814,1790,765,1745,639
2025,Ульяновская область,21676,2579,10431,2900,1466,3196,1106
2025,Хабаровский край,13045,725,5996,2756,1118,1933,519
2025,Ханты-Мансийский автономный округ - Югра,24072,2133,10533,3585,2104,4449,1271
2025,Херсонская область,928,7,275,235,153,217,41
2025,Челябинская область,25909,1063,10410,5184,2780,5368,1105
2025,Чеченская Республика,8827,69,1725,2531,2272,1931,299
2025,Чувашская Республика - Чувашия,10025,626,4775,1409,479,922,1814
2025,Чукотский автономный округ,829,44,310,114,124,209,28
2025,Ямало-Ненецкий автономный округ,13069,1146,2812,1057,2116,5146,792
2025,Ярославская область,10750,457,4742,2530,909,1702,410
2024,"",8530,83,1253,3084,2912,1008,186
2024,Алтайский край,15275,638,6977,3439,1325,2232,665
2024,Амурская область,11542,836,6440,2196,663,1116,293
2024,Архангельская область,7046,419,3145,1366,676,1215,226
2024,Астраханская область,9229,475,4537,1746,686,1453,334
2024,Белгородская область,34205,3488,13225,9314,2398,4406,1374
2024,Брянская область,8089,390,3948,1572,670,1163,346
2024,Владимирская область,8865,527,4920,1537,625,1096,165
2024,Волгоградская область,19967,1878,9213,3681,1460,2988,749
2024,Вологодская область,11300,585,4116,2344,1267,2509,479
2024,Воронежская область,14917,838,7877,2779,1144,1893,387
2024,Донецкая Народная Республика,8833,193,2619,2886,1143,1645,347
2024,Еврейская автономная область,882,117,328,140,101,158,38
2024,Забайкальский край,27355,2598,10090,2869,4049,6421,1330
2024,Запорожская область,1853,38,620,524,251,371,49
2024,Ивановская область,10864,373,5122,3472,541,1031,326
2024,Иркутская область,19692,918,8635,3665,2080,3363,1033
